code,label,month,wash_count,customers
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-01,133,218
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-02,146,222
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-03,206,296
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-04,176,238
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-05,185,253
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-06,211,284
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-07,228,289
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-08,273,358
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-09,212,312
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-10,228,358
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-11,195,324
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2024-12,201,327
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-01,204,314
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-02,163,236
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-03,221,317
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-04,203,266
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-05,229,310
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-06,222,300
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-07,245,345
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-08,262,346
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-09,228,327
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-10,215,329
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-11,197,317
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2025-12,199,323
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2026-01,181,288
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2026-02,199,300
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2026-03,180,262
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2026-04,202,283
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2026-05,214,286
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2026-06,173,224
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2026-07,215,289
2CTX,"Poděbrady, Bílkova 270, 290 01, ORLEN, TESCO",2026-08,34,41
